File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
fonts.o,15.554077%,9821,0,0,9821,0,0
gui.o,13.449265%,8492,12,7992,488,12,0
uc8179.o,7.738236%,4886,96,1722,3068,96,0
adafruit_gfx.o,5.752205%,3632,4,3628,0,4,0
fds.o,5.711028%,3606,284,3514,24,68,216
epd_service.o,5.064855%,3198,8,3166,24,8,0
mc_w.l,4.871636%,3076,8,3068,0,8,0
printfa.o,3.705991%,2340,0,2340,0,0,0
lunar.o,3.341727%,2110,164,1188,758,164,0
nrfx_gpiote.o,2.562519%,1618,92,1614,4,0,92
epd_driver.o,2.366133%,1494,48,1406,40,48,0
main.o,2.207757%,1394,2692,1254,88,52,2640
ble_advdata.o,2.119067%,1338,0,1338,0,0,0
mf_w.l,1.881503%,1188,0,1188,0,0,0
app_timer2.o,1.754803%,1108,140,1052,20,36,104
ble_advertising.o,1.539412%,972,0,972,0,0,0
nrfx_spi.o,1.507737%,952,44,952,0,0,44
nrf_fstorage_sd.o,1.390539%,878,184,798,72,8,176
u8g2_font.o,1.314518%,830,0,830,0,0,0
ble_conn_params.o,1.032610%,652,88,636,8,8,80
nrf_sdh.o,1.031026%,651,3,560,88,3,0
drv_rtc.o,0.997767%,630,12,612,6,12,0
system_nrf52.o,0.880569%,556,4,552,0,4,0
arm_startup_nrf52811.o,0.867899%,548,10240,36,512,0,10240
ble_dfu.o,0.807716%,510,28,478,32,0,28
ble_srv_common.o,0.734863%,464,0,464,0,0,0
ble_dfu_unbonded.o,0.715858%,452,44,440,8,4,40
nrf_ble_gatt.o,0.563818%,356,0,342,14,0,0
nrf_sdh_ble.o,0.543229%,343,1,286,56,1,0
nrf_atfifo.o,0.541645%,342,0,342,0,0,0
dadd.o,0.528975%,334,0,334,0,0,0
nrf_drv_clock.o,0.519472%,328,20,312,16,0,20
nrf_pwr_mgmt.o,0.468792%,296,20,252,36,8,12
nrf_atomic.o,0.452955%,286,0,286,0,0,0
app_scheduler.o,0.449787%,284,16,268,0,16,0
epd_config.o,0.411777%,260,0,260,0,0,0
nrfx_wdt.o,0.399107%,252,8,244,0,8,0
nrfx_clock.o,0.376934%,238,8,230,0,8,0
nrf_fstorage.o,0.367432%,232,0,232,0,0,0
dmul.o,0.361097%,228,0,228,0,0,0
ddiv.o,0.351594%,222,0,222,0,0,0
malloc.o,0.297746%,188,0,188,0,0,0
depilogue.o,0.294579%,186,0,186,0,0,0
app_util_platform.o,0.196386%,124,12,124,0,0,12
nrf_drv_spi.o,0.177381%,112,16,96,0,16,0
uldiv.o,0.155208%,98,0,98,0,0,0
nrf_sdh_soc.o,0.152041%,96,0,60,36,0,0
__dczerorl2.o,0.136203%,86,0,86,0,0,0
nrf_sortlist.o,0.133036%,84,0,84,0,0,0
nrf_section_iter.o,0.123533%,78,0,78,0,0,0
dfixi.o,0.098193%,62,0,62,0,0,0
dfixul.o,0.076020%,48,0,48,0,0,0
cdrcmple.o,0.076020%,48,0,48,0,0,0
app_error_weak.o,0.076020%,48,0,48,0,0,0
uidiv.o,0.069685%,44,0,44,0,0,0
nrf_dfu_svci.o,0.063350%,40,0,40,0,0,0
memseta.o,0.057015%,36,0,36,0,0,0
memcpya.o,0.057015%,36,0,36,0,0,0
llsshr.o,0.057015%,36,0,36,0,0,0
init.o,0.057015%,36,0,36,0,0,0
dflti.o,0.053848%,34,0,34,0,0,0
llushr.o,0.050680%,32,0,32,0,0,0
llshl.o,0.047513%,30,0,30,0,0,0
handlers.o,0.047513%,30,0,30,0,0,0
dfltui.o,0.041178%,26,0,26,0,0,0
strcat.o,0.038010%,24,0,24,0,0,0
app_error.o,0.034843%,22,0,22,0,0,0
strcpy.o,0.028508%,18,0,18,0,0,0
strlen.o,0.022173%,14,0,14,0,0,0
mvars.o,0.012670%,8,8,0,0,8,0
entry9a.o,0.012670%,8,0,8,0,0,0
entry2.o,0.012670%,8,0,8,0,0,0
entry5.o,0.006335%,4,0,4,0,0,0
