File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
arm_startup_nrf52811.o,71.588364%,10240,548,36,512,0,10240
main.o,18.819910%,2692,1394,1254,88,52,2640
fds.o,1.985459%,284,3606,3514,24,68,216
nrf_fstorage_sd.o,1.286353%,184,878,798,72,8,176
lunar.o,1.146532%,164,2110,1188,758,164,0
app_timer2.o,0.978747%,140,1108,1052,20,36,104
uc8179.o,0.671141%,96,4886,1722,3068,96,0
nrfx_gpiote.o,0.643177%,92,1618,1614,4,0,92
ble_conn_params.o,0.615213%,88,652,636,8,8,80
epd_driver.o,0.335570%,48,1494,1406,40,48,0
nrfx_spi.o,0.307606%,44,952,952,0,0,44
ble_dfu_unbonded.o,0.307606%,44,452,440,8,4,40
ble_dfu.o,0.195749%,28,510,478,32,0,28
nrf_pwr_mgmt.o,0.139821%,20,296,252,36,8,12
nrf_drv_clock.o,0.139821%,20,328,312,16,0,20
nrf_drv_spi.o,0.111857%,16,112,96,0,16,0
app_scheduler.o,0.111857%,16,284,268,0,16,0
gui.o,0.083893%,12,8492,7992,488,12,0
drv_rtc.o,0.083893%,12,630,612,6,12,0
app_util_platform.o,0.083893%,12,124,124,0,0,12
mc_w.l,0.055928%,8,3076,3068,0,8,0
mvars.o,0.055928%,8,8,0,0,8,0
nrfx_wdt.o,0.055928%,8,252,244,0,8,0
nrfx_clock.o,0.055928%,8,238,230,0,8,0
epd_service.o,0.055928%,8,3198,3166,24,8,0
system_nrf52.o,0.027964%,4,556,552,0,4,0
adafruit_gfx.o,0.027964%,4,3632,3628,0,4,0
nrf_sdh.o,0.020973%,3,651,560,88,3,0
nrf_sdh_ble.o,0.006991%,1,343,286,56,1,0
